Name,Location,Price,Image,Description,Details,General,,
House / Villa - 3 Bedrooms - 276 m²,"Tamarin, West","Rs 40,902,400",https://www.lexpressproperty.com/local/cache-intervention/L733xH498/jpg/photo-house_villa_3_bedrooms_276_m2-a7aIBlIV53zt1798.jpg,"Located within 26 hectares of lush vegetation for harmonious and sustainable development, this contemporary villa of 276 m² on a plot of 860 m² offers a view of a garden planted with a certain taste and the Rempart mountain.
The house has 3 en-suite bedrooms, all equipped with fitted wardrobes and air conditioning. The living space offers a living-dining room as well as its fully equipped independent kitchen, and a fitted laundry room. Open onto a covered terrace, you will benefit from a pleasant outdoor living space with its swimming pool and gazebo to enjoy moments of relaxation in a soothing environment.
In a popular and sought-after area, this villa with refined and tastefully decorated services benefits from direct access to the future Smart City of Cap Tamarin, near the Tamarina golf course, a shopping center and a sports center.
Residents have direct access to the beach by river shuttle. The acquisition of the property will give you access to the resident card.","Land surface
860 m²
Interior surface
276 m²
Swimming pool
Private pool",Sea access,,
House / Villa - 3 Bedrooms - 195 m²,"Riambel, South","Rs 20,650,000",https://www.lexpressproperty.com/local/cache-intervention/L733xH498/jpg/photo-house_villa_3_bedrooms_195_m2-UNtbn87sm23W271f.jpg,"Buying off plan - Agency fees included:
Naïa is a waterfront residence located on a beach with a frontage of 230m facing a turquoise sea! This modern and tropical retreat offers an incomparable lifestyle and a total change of scenery.
This real estate project has 20 villas of 195m2 on the beachfront with three bedrooms, including a master bedroom, a private pool and a landscaped garden. The large living room blends perfectly with the terrace offering magical views of the ocean. The living space is meticulously designed to echo the unparalleled beauty of the surrounding nature. These stunning villas are spaciously laid out along a pristine beach offering ultimate privacy and stunning sea views from every room. They also all have their own sea access.
These single-story villas offer a modern and elegant architecture that blends perfectly with the lush, blue surroundings of Riambel. The interior spaces are designed to echo the unparalleled beauty of the landscape, and the colors and natural materials used add a certain softness to the place. Far from everything, facing a pristine beach and a turquoise sea, these villas are made to relax and rejuvenate as a family, a couple or even alone.
A unique opportunity to own a high standing house on the beach!
For more information or a visit, contact Villa Vie!","Land surface
687 m²
Interior surface
195 m²
Swimming pool
Private pool",Sea view,,
House / Villa - 4 Bedrooms - 514 m²,"Mont Piton, North","Rs 30,000,000",https://www.lexpressproperty.com/local/cache-intervention/L733xH498/jpg/photo-house_villa_4_bedrooms_514_m2-8mQoXvRiFK9dc50a.jpg,"This bright and spacious villa of 514 m2 offers views over sugar cane fields and the Coin de Mire Island in the distance.Newly built, the property includes 2 independent apartments opening onto the pool area, one with a single bedroom and the other with two bedrooms, each offering a bathroom, small living room and kitchenette.The first floor includes an open-plan living room/dining room, an equipped American kitchen and a terrace with views onto the northern islands and mountains of Port Louis.Also situated on the first floor is the master bedroom with an en-suite bathroom and closet, as well as an office with an independent entrance and an en-suite bathroom.A turquoise pool completes the splendour of this property, giving way to unobstructed views.Dotted with glass windows, all rooms have air-conditioning as well as ceiling fans. The property is also equipped with an electric gate, a garage, a double storage space and a wine cellar.Wifi, fibre, telephone and Canal Sat already installed.","Land surface
1505 m²
Interior surface
514 m²
Swimming pool
Private pool",Fully equipped,,
House / Villa - 3 Bedrooms - 183 m²,"Péreybère, North","Rs 15,600,000",https://www.lexpressproperty.com/local/cache-intervention/L733xH498/jpg/photo-house_villa_3_bedrooms_183_m2-AUgLQtaI6d4623a8.jpg,"Beautiful property composed of 2 beautiful villas which can be sold together or separately since they each have their own access.
This recently built villa (2016) with cement slab roof gives it a certain charm. It has a surface of 183m2 and is built on a plot of 929m2.
It consists of 3 bedrooms and 3 bathrooms, an entrance hall and a beautiful swimming pool.
Beautiful property.","Land surface
929 m²
Interior surface
183 m²
Swimming pool
Private pool",Garden,,
House / Villa - 7 Bedrooms - 300 m²,"Calodyne, North","Rs 29,000,000",https://www.lexpressproperty.com/local/cache-intervention/L733xH498/jpg/photo-house_villa_7_bedrooms_300_m2-sgtHcJtsppij7eb5.jpg,"FMImmobilier is pleased to offer you the purchase of a 35 perches property on which three houses have been built, located in the best area of Calodyne, close to the shops and the sea. The main house has 4 bedrooms and 3 bathrooms, the 'little house' has two bedrooms and a bathroom and the annex-dependence has two bedrooms and a bathroom. It is a private property, independent, very well located with a pleasant and discreet neighborhood. An automatic gate gives you access to this confidential property that is not visible from the main street. Airy and bright, it has large trees, a nice swimming pool and many parking spaces. Note that the three houses are all on one level and partially furnished.","Land surface
885 m²
Swimming pool
Private pool",Garden,,
House / Villa - 3 Bedrooms - 205 m²,"Black River, West","Rs 23,654,400",https://www.lexpressproperty.com/local/cache-intervention/L733xH498/jpg/photo-house_villa_3_bedrooms_205_m2-p9yFPaLMGL54b536.jpg,"ACCESSIBLE TO FOREIGNERS - MB Immobilier proposes you this project of 7 villas which are located at a few minutes of the coastal road of Tamarin.
Each residence has been designed to be the ideal place to relax at the end of the day and is inspired by the modern tropical lifestyle with large open spaces inside that lead to an outdoor terrace.
Each room has an en-suite bathroom and large floor-to-ceiling windows that let in the breeze and sunlight to provide a small haven of peace.
Functional and elegant, the design is harmonious - the open-plan living spaces including the kitchen, living room and dining room overlook the outdoor space, allowing you to fully enjoy your guests.
A great cosmopolitan lifestyle on the coast.
Price : € 480 000","Land surface
350 m²
Interior surface
205 m²
Swimming pool
Private pool",Close to shops,,
House / Villa - 4 Bedrooms - 148 m²,"Trou d'Eau Douce, East","Rs 22,000,000",https://www.lexpressproperty.com/local/cache-intervention/L733xH498/jpg/photo-house_villa_4_bedrooms_148_m2-42RPwvvPBtYO7cf3.jpg,"Accessible only to Mauritians. Leasehold land.
Two-storey villa with 4 bedrooms with possibility to make a 5th bedroom, in a residence directly on the beach.
Individual and fenced garden of 12 perch - carport. Boat parking in the residence.
Excellent condition, no renovation needed. Beautiful beach!","Land surface
506 m²
Interior surface
148 m²",Sea view,,
House / Villa - 4 Bedrooms - 279 m²,"Flic en Flac, West","Rs 20,000,000",https://www.lexpressproperty.com/local/cache-intervention/L733xH498/jpg/photo-house_villa_4_bedrooms_279_m2-luvOcVrMh3vs6d6f.jpg,"Looking for your dream home with a breathtaking view of the sea? Look no further! This luxurious family home boasts 4 air-conditioned en-suite bedrooms including one with a Jacuzzi, modern kitchen, living room with tv area opening onto a covered terrace with dining arrangements, a laundry room, 4 combined baths and WCs, 1 guest toilet, double garage with automated door, all on an enclosed garden with private swimming pool (8.5 x 3.5). Sold unfurnished and excluding applicable fees (5% Registration Duty | Notary Fee + VAT | 2% Brokerage Fee + VAT | monthly Syndic Fee of MUR 2,500)
Step outside onto your own balcony and take in the magnificent view of the sea. Take a dip in your very own salt pool measuring 8.5m x 3.5m for a refreshing swim.
All of these features can be yours for the price of Rs20m excluding fees. Don't miss out on this incredible opportunity to own a piece of paradise. Contact us today to schedule a viewing and make your dream home a reality.","Land surface
600.27 m²
Interior surface
278.70 m²
Swimming pool
Private pool",Sea view,,
House / Villa - 4 Bedrooms - 290 m²,"Grand Bay, North","Rs 58,150,400",https://www.lexpressproperty.com/local/cache-intervention/L733xH498/jpg/photo-house_villa_4_bedrooms_290_m2-Z9nwhIEsaHddda5b.jpg,"ACCESSIBLE TO FOREIGNERS.
Single storey villa with 4 bedrooms and adjoining bathrooms of very high standing in a secure residence at 1 km from the Croisette.
Double garage, automatic generator and a gym in the residence.
Excellent condition and beautiful tropical garden. Access to a club on the beach.
Price 1.180.000 €.","Land surface
800 m²
Interior surface
290 m²
Swimming pool
Private pool",Sea access,,
House / Villa - 5 Bedrooms - 412 m²,"Péreybère, North","Rs 21,000,000",https://www.lexpressproperty.com/local/cache-intervention/L733xH498/jpg/photo-house_villa_5_bedrooms_412_m2-b6EoZNGBZM51e6d7.jpg,"Beautiful property composed of 2 beautiful villas which can be sold together or separately since they each have their own access.
This large villa of 412m2, located in the residential area of the old Cassé mill in Pereybère, consists of 5 bedrooms all with air conditioning and 4 bathrooms.
A large garden of 844 m2 is embellished with a beautiful swimming pool. The villa is currently rented for tourist purposes but can also be suitable for a large family.
Construction dates from 2002.","Land surface
844 m²
Interior surface
412 m²
Swimming pool
Private pool",Garden,,
